text_context,parent_tag,text_length,sibling_index,children_count,same_tag_sibling_count,same_text_sibling_count,has_link,link_is_absolute,parent_has_link,is_leaf,word_count,letter_ratio,digit_ratio,whitespace_ratio,contains_date,contains_time,starts_with_digit,ends_with_digit,attribute_count,has_class,has_id,attr_has_word_name,attr_has_word_date,attr_has_word_time,attr_has_word_location,attr_has_word_link,text_has_word_name,text_has_word_date,text_word_time,text_word_description,text_word_location,event_id
"early bird rate - $160 early bird rate ends friday, august 22nd",Em,63,6,1,1,0,FALSE,FALSE,FALSE,FALSE,12,0.6984127,0.07936508,0.17460318,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
neacac is pleased to announce we have partnered with,P,52,0,0,1,0,FALSE,FALSE,FALSE,TRUE,9,0.84615386,0,0.15384616,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
strivescan,P,10,1,0,0,0,TRUE,TRUE,FALSE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"to bring student barcode scanning technology to our college fairs. strivescan will enhance the experience for students and colleges by making information exchange more efficient and productive, while also providing valuable data to our organization and the fair organizers.",P,273,2,0,1,0,FALSE,FALSE,FALSE,TRUE,39,0.84981686,0,0.13919415,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"college reps use the strivescan app to scan students' barcodes. reps can instantly view the student's information and take notes right in the app. after the fair, reps export the student data with one click to a csv excel file, or can them directly to their crm.",P,262,0,2,0,0,FALSE,FALSE,FALSE,FALSE,47,0.79770994,0,0.17557251,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
automatically upload,Span,20,0,0,0,0,TRUE,TRUE,FALSE,TRUE,2,0.95,0,0.05,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
scanning is included in neacac fair registration fees and is provided at no additional cost to attending institutions.,Span,118,1,0,0,0,FALSE,FALSE,FALSE,TRUE,18,0.84745765,0,0.1440678,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
"secondary schools and parents, please view our",Unknown,46,0,0,0,0,FALSE,FALSE,FALSE,TRUE,7,0.84782606,0,0.13043478,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
high school resource page,A,25,0,0,0,0,FALSE,FALSE,FALSE,TRUE,4,0.88,0,0.12,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
.,Unknown,1,1,0,0,0,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
we hope you can join us!,Unknown,24,0,0,0,0,FALSE,FALSE,FALSE,TRUE,6,0.75,0,0.20833333,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2025 neacac fall college fair schedule,Div,38,9,1,1,0,FALSE,FALSE,FALSE,FALSE,6,0.7631579,0.10526316,0.13157895,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
institution,Span,11,0,0,0,0,FALSE,FALSE,FALSE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
date,Span,4,0,0,0,0,FALSE,FALSE,FALSE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
start time,Span,10,0,0,0,0,FALSE,FALSE,FALSE,TRUE,2,0.9,0,0.1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
end time,Span,8,0,0,0,0,FALSE,FALSE,FALSE,TRUE,2,0.875,0,0.125,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0
location,Span,8,0,0,0,0,FALSE,FALSE,FALSE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
"city, state",Span,11,0,0,0,0,FALSE,FALSE,FALSE,TRUE,2,0.8181818,0,0.09090909,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
colleges attending,Span,18,0,0,0,0,FALSE,FALSE,FALSE,TRUE,2,0.9444444,0,0.055555556,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
southern new hampshire university,Span,33,0,0,0,0,FALSE,FALSE,FALSE,TRUE,4,0.90909094,0,0.09090909,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"tuesday, september 16th",Tr,23,1,0,0,0,FALSE,FALSE,FALSE,TRUE,3,0.7826087,0.08695652,0.08695652,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
9am,Td,3,0,0,0,0,FALSE,FALSE,FALSE,TRUE,1,0.6666667,0.33333334,0,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
11am,Td,4,0,0,0,0,FALSE,FALSE,FALSE,TRUE,1,0.5,0.5,0,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
athletic complex,Span,16,0,0,0,0,FALSE,FALSE,FALSE,TRUE,2,0.9375,0,0.0625,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"manchester, nh",Span,14,0,0,0,0,FALSE,FALSE,FALSE,TRUE,2,0.85714287,0,0.071428575,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
